# DEBUG Waiting for a keypress.
        38.24000 ms     000004ab ticks
        93.53600 ms     00000b6b ticks
        11.48800 ms     00000167 ticks
        79.16800 ms     000009aa ticks
        45.88800 ms     0000059a ticks
       126.33600 ms     00000f6c ticks
       246.52800 ms     00001e18 ticks
        40.35200 ms     000004ed ticks
       342.68800 ms     000029d5 ticks
       130.84800 ms     00000ff9 ticks
       649.88800 ms     00004f55 ticks
       115.00800 ms     00000e0a ticks
       215.20000 ms     00001a45 ticks
       126.33600 ms     00000f6c ticks
        24.99200 ms     0000030d ticks
        83.32800 ms     00000a2c ticks
        70.97600 ms     000008aa ticks
       103.68000 ms     00000ca8 ticks
        89.82400 ms     00000af7 ticks
       153.47200 ms     000012bc ticks
       551.68000 ms     00004358 ticks
       110.49600 ms     00000d7d ticks
       443.00800 ms     00003614 ticks
        96.89600 ms     00000bd4 ticks
        83.55200 ms     00000a33 ticks
        92.35200 ms     00000b46 ticks
        41.72800 ms     00000518 ticks
       119.52000 ms     00000e97 ticks
       129.50400 ms     00000fcf ticks
       117.21600 ms     00000e4f ticks
        21.24800 ms     00000298 ticks
       126.62400 ms     00000f75 ticks
        68.89600 ms     00000869 ticks
       105.95200 ms     00000cef ticks
       580.70400 ms     000046e3 ticks
       155.74400 ms     00001303 ticks
       133.69600 ms     00001052 ticks
       117.28000 ms     00000e51 ticks
       169.15200 ms     000014a6 ticks
       130.40000 ms     00000feb ticks
        11.96800 ms     00000176 ticks
       101.53600 ms     00000c65 ticks
        77.79200 ms     0000097f ticks
        16.76800 ms     0000020c ticks
        19.04000 ms     00000253 ticks
       104.32000 ms     00000cbc ticks
        29.18400 ms     00000390 ticks
       133.12000 ms     00001040 ticks
       165.05600 ms     00001426 ticks
        78.78400 ms     0000099e ticks
       288.38400 ms     00002334 ticks
       185.12000 ms     00001699 ticks
        21.24800 ms     00000298 ticks
        90.17600 ms     00000b02 ticks
        24.99200 ms     0000030d ticks
       128.54400 ms     00000fb1 ticks
        20.83200 ms     0000028b ticks
       112.73600 ms     00000dc3 ticks
       146.20800 ms     000011d9 ticks
       117.28000 ms     00000e51 ticks
        20.76800 ms     00000289 ticks
       108.25600 ms     00000d37 ticks
        85.56800 ms     00000a72 ticks
       133.12000 ms     00001040 ticks
        20.80000 ms     0000028a ticks
       135.36000 ms     00001086 ticks
       150.36800 ms     0000125b ticks
       137.66400 ms     000010ce ticks
        29.15200 ms     0000038f ticks
       139.84000 ms     00001112 ticks
        21.28000 ms     00000299 ticks
       101.53600 ms     00000c65 ticks
       116.96000 ms     00000e47 ticks
        90.04800 ms     00000afe ticks
        35.93600 ms     00000463 ticks
       110.65600 ms     00000d82 ticks
       491.07200 ms     00003bf2 ticks
       139.87200 ms     00001113 ticks
        54.24000 ms     0000069f ticks
       103.71200 ms     00000ca9 ticks
       219.36000 ms     00001ac7 ticks
       151.23200 ms     00001276 ticks
      1813.85600 ms     0000dd6b ticks
       124.09600 ms     00000f26 ticks
       177.56800 ms     000015ad ticks
       148.96000 ms     0000122f ticks
        20.80000 ms     0000028a ticks
       133.12000 ms     00001040 ticks
       152.51200 ms     0000129e ticks
       101.40800 ms     00000c61 ticks
       202.65600 ms     000018bd ticks
       130.84800 ms     00000ff9 ticks
        20.83200 ms     0000028b ticks
       160.00000 ms     00001388 ticks
        16.64000 ms     00000208 ticks
       131.16800 ms     00001003 ticks
        62.59200 ms     000007a4 ticks
       160.25600 ms     00001390 ticks
       144.12800 ms     00001198 ticks
       133.12000 ms     00001040 ticks
        68.89600 ms     00000869 ticks
       133.08800 ms     0000103f ticks
        64.70400 ms     000007e6 ticks
       110.46400 ms     00000d7c ticks
       129.50400 ms     00000fcf ticks
        67.45600 ms     0000083c ticks
       156.67200 ms     00001320 ticks
       135.36000 ms     00001086 ticks
       741.85600 ms     00005a8f ticks
       124.03200 ms     00000f24 ticks
        33.34400 ms     00000412 ticks
